Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min
,200x200x24 EA,-,71.1,200,200,24,24,18,,,,,,,,,3330,3330,6.06,6.06,235,235,,,,,,182,90.6,,18,9,5.84,5.84,5280,1380,7.64,3.9,2.5
,200x200x20 EA,-,59.9,200,200,20,20,18,,,,,,,,,2850,2850,6.11,6.11,199,199,,,,,,107,76.3,,18,9,5.68,5.68,4530,1170,7.7,3.92,3.05
,200x200x18 EA,-,54.3,200,200,18,18,18,,,,,,,,,2600,2600,6.13,6.13,181,181,,,,,,78.9,69.1,,18,9,5.6,5.6,4150,1050,7.75,3.9,3.43
,200x200x16 EA,-,48.5,200,200,16,16,18,,,,,,,,,2340,2340,6.16,6.16,162,162,,,,,,56.1,61.8,,18,9,5.52,5.52,3720,960,7.76,3.94,3.85
,150x150x18 UKA,Tata,40.1,150,150,18,18,16,,,,,,,,,1060,1060,4.55,4.55,99.8,99.8,,,,,,58.6,51.2,,16,8,4.38,4.38,1680,440,5.73,2.93,2.48
,150x150x15 EA,-,33.8,150,150,15,15,16,,,,,,,,,898,898,4.57,4.57,83.5,83.5,,,,,,34.6,43,,16,8,4.25,4.25,1430,370,5.76,2.93,3.01
,150x150x12 EA,-,27.3,150,150,12,12,16,,,,,,,,,737,737,4.6,4.6,67.7,67.7,,,,,,18.2,34.8,,16,8,4.12,4.12,1170,303,5.8,2.95,3.77
,150x150x10 EA,-,23,150,150,10,10,16,,,,,,,,,624,624,4.62,4.62,56.9,56.9,,,,,,10.8,29.3,,16,8,4.03,4.03,990,258,5.82,2.97,4.51
,120x120x15 UKA,Tata,26.6,120,120,15,15,13,,,,,,,,,448,448,3.63,3.63,52.8,52.8,,,,,,27,34,,13,6.5,3.52,3.52,710,186,4.57,2.34,2.37
,120x120x12 EA,-,21.6,120,120,12,12,13,,,,,,,,,368,368,3.65,3.65,42.7,42.7,,,,,,14.2,27.5,,13,6.5,3.4,3.4,584,152,4.6,2.35,2.99
,120x120x10 EA,-,18.2,120,120,10,10,13,,,,,,,,,313,313,3.67,3.67,36,36,,,,,,8.41,23.2,,13,6.5,3.31,3.31,497,129,4.63,2.36,3.61
,120x120x8 UKA,Tata,14.7,120,120,8,8,13,,,,,,,,,259,259,3.71,3.71,29.5,29.5,,,,,,4.44,18.8,,13,6.5,3.24,3.24,411,107,4.67,2.38,4.56
,100x100x15 UKA,Tata,21.9,100,100,15,15,12,,,,,,,,,250,250,2.99,2.99,35.8,35.8,,,,,,22.3,28,,12,6,3.02,3.02,395,105,3.76,1.94,1.92
,100x100x12 EA,-,17.8,100,,12,12,12,,,,,,,,,207,207,3.02,3.02,29.1,29.1,,,,,,11.8,22.7,,12,6,2.9,2.9,328,85.7,3.8,1.94,2.44
,100x100x10 EA,-,15,100,100,10,10,12,,,,,,,,,177,177,3.04,3.04,24.6,24.6,,,,,,6.97,19.2,,12,6,2.82,2.82,280,73,3.83,1.95,2.94
,100x100x8 EA,-,12.2,100,100,8,8,12,,,,,,,,,145,145,3.06,3.06,19.9,19.9,,,,,,3.68,15.5,,12,6,2.74,2.74,230,59.9,3.85,1.96,3.7
,90x90x12 UKA,Tata,15.9,90,90,12,12,11,,,,,,,,,149,149,2.71,2.71,23.5,23.5,,,,,,10.5,20.3,,11,5.5,2.66,2.66,235,62,3.4,1.75,2.17
,90x90x10 EA,-,13.4,90,90,10,10,11,,,,,,,,,127,127,2.72,2.72,19.8,19.8,,,,,,6.2,17.1,,11,5.5,2.58,2.58,201,52.6,3.42,1.75,2.64
,90x90x8 EA,-,10.9,90,90,8,8,11,,,,,,,,,104,104,2.74,2.74,16.1,16.1,,,,,,3.28,13.9,,11,5.5,2.5,2.5,166,43.1,3.45,1.76,3.33
,90x90x7 EA,-,9.61,90,90,7,7,11,,,,,,,,,92.6,92.6,2.75,2.75,14.1,14.1,,,,,,2.24,12.2,,11,5.5,2.45,2.45,147,38.3,3.46,1.77,3.8
