Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A
,HE 100 A,,16.7,96,100,5,8,12,,,,,,,,,349.2,133.8,4.06,2.51,72.76,26.76,83.01,41.14,,,2580,5.24,21.24
,HE 120 A,,19.9,114,120,5,8,12,,,,,,,,,606.2,230.9,4.89,3.02,106.3,38.48,119.5,58.85,,,6470,5.99,25.34
,HE 140 A,,24.7,133,140,5.5,8.5,12,,,,,,,,,1033,389.3,5.73,3.52,155.4,55.62,173.5,84.85,,,15060,8.13,31.42
,HE 160 A,,30.4,152,160,6,9,15,,,,,,,,,1673,615.6,6.57,3.98,220.1,76.95,245.1,117.6,,,31410,12.19,38.77
,HE 180 A,,36,171,180,6,9.5,15,,,,,,,,,2510,924.6,7.45,4.52,293.6,102.7,324.9,156.5,,,60210,14.8,45.25
,HE 200 A,,42.3,190,200,6.5,10,18,,,,,,,,,3692,1336,8.28,4.98,388.6,133.6,429.5,203.8,,,108000,20.98,53.83
,HE 220 A,,50.5,210,220,7,11,18,,,,,,,,,5410,1955,9.17,5.51,515.2,177.7,568.5,270.6,,,193300,28.46,64.34
,HE 240 A,,60.3,230,240,7.5,12,21,,,,,,,,,7763,2769,10.05,6,675.1,230.7,744.6,351.7,,,328500,41.55,76.84
,HE 260 A,,68.2,250,260,7.5,12.5,24,,,,,,,,,10450,3668,10.97,6.5,836.4,282.1,919.8,430.2,,,516400,52.37,86.82
,HE 280 A,,76.4,270,280,8,13,24,,,,,,,,,13670,4763,11.86,7,1013,340.2,1112,518.1,,,785400,62.1,97.26
,HE 300 A,,88.3,290,300,8.5,14,27,,,,,,,,,18260,6310,12.74,7.49,1260,420.6,1383,641.2,,,1200000,85.17,112.5
,HE 320 A,,97.6,310,300,9,15.5,27,,,,,,,,,22930,6985,13.58,7.49,1479,465.7,1628,709.7,,,1512000,108,124.4
,HE 340 A,,105,330,300,9.5,16.5,27,,,,,,,,,27690,7436,14.4,7.46,1678,495.7,1850,755.9,,,1824000,127.2,133.5
,HE 360 A,,112,350,300,10,17.5,27,,,,,,,,,33090,7887,15.22,7.43,1891,525.8,2088,802.3,,,2177000,148.8,142.8
,HE 400 A,,125,390,300,11,19,27,,,,,,,,,45070,8564,16.84,7.34,2311,570.9,2562,872.9,,,2942000,189,159
,HE 450 A,,140,440,300,11.5,21,27,,,,,,,,,63720,9465,18.92,7.29,2896,631,3216,965.5,,,4148000,243.8,178
,HE 500 A,,155,490,300,12,23,27,,,,,,,,,86970,10370,20.98,7.24,3550,691.1,3949,1059,,,5643000,309.3,197.5
,HE 550 A,,166,540,300,12.5,24,27,,,,,,,,,111900,10820,22.99,7.15,4146,721.3,4622,1107,,,7189000,351.5,211.8
,HE 600 A,,178,590,300,13,25,27,,,,,,,,,141200,11270,24.97,7.05,4787,751.4,5350,1156,,,8978000,397.8,226.5
,HE 650 A,,190,640,300,13.5,26,27,,,,,,,,,175200,11720,26.93,6.97,5474,781.6,6136,1205,,,11030000,448.3,241.6
,HE 700 A,,204,690,300,14.5,27,27,,,,,,,,,215300,12180,28.75,6.84,6241,811.9,7032,1257,,,13350000,513.9,260.5
,HE 800 A,,224,790,300,15,28,30,,,,,,,,,303400,12640,32.58,6.65,7682,842.6,8699,1312,,,18290000,596.9,285.8
,HE 900 A,,252,890,300,16,30,30,,,,,,,,,422100,13550,36.29,6.5,9485,903.2,10810,1414,,,24960000,736.8,320.5
,HE 1000 A,,272,990,300,16.5,31,30,,,,,,,,,553800,14000,39.96,6.35,11190,933.6,12820,1470,,,32070000,822.4,346.8
