Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt
,50x30x3 RHS,-,3.41,50,30,3,3,,,13.7,7,,,,0.152,44.5,13.6,5.94,1.77,1.17,5.43,3.96,6.88,4.76,,,,13.5,4.34,,,,,,,,,,,,,,,6.51
,50x30x3.2 RHS,-,3.61,50,30,3.2,3.2,,,12.6,6.37,,,,0.152,42.1,14.2,6.2,1.76,1.16,5.68,4.13,7.25,5,,,,14.2,4.6,,,,,,,,,,,,,,,6.8
,50x30x3.6 RHS,-,4.01,50,30,3.6,3.6,,,10.9,5.33,,,,0.151,37.8,15.4,6.67,1.74,1.14,6.16,4.45,7.94,5.46,,,,15.4,5.1,,,,,,,,,,,,,,,7.31
,50x30x4 RHS,-,4.39,50,30,4,4,,,9.5,4.5,,,,0.15,34.2,16.5,7.08,1.72,1.13,6.6,4.72,8.59,5.88,,,,16.6,5.59,,,,,,,,,,,,,,,7.77
,50x30x5 RHS,-,5.28,50,30,5,5,,,7,3,,,,0.147,27.8,18.7,7.89,1.67,1.08,7.49,5.26,10,6.8,,,,19,6.73,,,,,,,,,,,,,,,8.67
,60x40x3 RHS,-,4.35,60,40,3,3,,,17,10.3,,,,0.192,44.2,26.5,13.9,2.18,1.58,8.82,6.95,10.9,8.19,,,,29.2,5.54,,,,,,,,,,,,,,,11.2
,60x40x3.2 RHS,-,4.62,60,40,3.2,3.2,,,15.7,9.5,,,,0.192,41.7,27.8,14.6,2.18,1.57,9.27,7.29,11.5,8.64,,,,30.8,5.88,,,,,,,,,,,,,,,11.7
,60x40x3.6 RHS,-,5.14,60,40,3.6,3.6,,,13.7,8.11,,,,0.191,37.2,30.4,15.9,2.16,1.56,10.1,7.93,12.7,9.5,,,,33.8,6.54,,,,,,,,,,,,,,,12.8
,60x40x4 RHS,-,5.64,60,40,4,4,,,12,7,,,,0.19,33.6,32.8,17,2.14,1.54,10.9,8.52,13.8,10.3,,,,36.7,7.19,,,,,,,,,,,,,,,13.7
,60x40x5 RHS,-,6.85,60,40,5,5,,,9,5,,,,0.187,27.3,38.1,19.5,2.09,1.5,12.7,9.77,16.4,12.2,,,,43,8.73,,,,,,,,,,,,,,,15.7
,60x40x6.3 RHS,-,8.31,60,40,6.3,6.3,,,6.52,3.35,,,,0.184,22.1,43.4,21.9,2.02,1.44,14.5,11,19.2,14.2,,,,49.5,10.6,,,,,,,,,,,,,,,17.6
,80x40x3 RHS,-,5.29,80,40,3,3,,,23.7,10.3,,,,0.232,43.8,54.2,18,2.84,1.63,13.6,9,17.1,10.4,,,,43.8,6.74,,,,,,,,,,,,,,,15.3
,80x40x3.2 RHS,-,5.62,80,40,3.2,3.2,,,22,9.5,,,,0.232,41.3,57.2,18.9,2.83,1.63,14.3,9.46,18,11,,,,46.2,7.16,,,,,,,,,,,,,,,16.1
,80x40x3.6 RHS,-,6.27,80,40,3.6,3.6,,,19.2,8.11,,,,0.231,37,62.8,20.6,2.81,1.61,15.7,10.3,20,12.1,,,,50.8,7.98,,,,,,,,,,,,,,,17.5
,80x40x4 RHS,-,6.9,80,40,4,4,,,17,7,,,,0.23,33.4,68.2,22.2,2.79,1.59,17.1,11.1,21.8,13.2,,,,55.2,8.79,,,,,,,,,,,,,,,18.9
,80x40x5 RHS,-,8.42,80,40,5,5,,,13,5,,,,0.227,27,80.3,25.7,2.74,1.55,20.1,12.9,26.1,15.7,,,,65.1,10.7,,,,,,,,,,,,,,,21.9
,80x40x6.3 RHS,-,10.3,80,40,6.3,6.3,,,9.7,3.35,,,,0.224,21.8,93.3,29.2,2.67,1.49,23.3,14.6,31.1,18.4,,,,75.6,13.1,,,,,,,,,,,,,,,24.8
,80x40x7.1 RHS,-,11.4,80,40,7.1,7.1,,,8.27,2.63,,,,0.222,19.5,99.8,30.7,2.63,1.46,25,15.4,33.8,19.8,,,,80.9,14.5,,,,,,,,,,,,,,,26.2
,80x40x8 RHS,-,12.5,80,40,8,8,,,7,2,,,,0.219,17.5,106,32.1,2.58,1.42,26.5,16.1,36.5,21.2,,,,85.8,16,,,,,,,,,,,,,,,27.4
,90x50x3 RHS,-,6.24,90,50,3,3,,,27,13.7,,,,0.272,43.5,84.4,33.5,3.26,2.05,18.8,13.4,23.2,15.3,,,,76.5,7.94,,,,,,,,,,,,,,,22.4
,90x50x3.2 RHS,-,6.63,90,50,3.2,3.2,,,25.1,12.6,,,,0.272,41.1,89.1,35.3,3.25,2.04,19.8,14.1,24.6,16.2,,,,80.9,8.44,,,,,,,,,,,,,,,23.6
,90x50x3.6 RHS,-,7.4,90,50,3.6,3.6,,,22,10.9,,,,0.271,36.6,98.3,38.7,3.23,2.03,21.8,15.5,27.2,18,,,,89.4,9.42,,,,,,,,,,,,,,,25.9
,90x50x4 RHS,-,8.15,90,50,4,4,,,19.5,9.5,,,,0.27,33.2,107,41.9,3.21,2.01,23.8,16.8,29.8,19.6,,,,97.5,10.4,,,,,,,,,,,,,,,28
,90x50x5 RHS,-,9.99,90,50,5,5,,,15,7,,,,0.267,26.7,127,49.2,3.16,1.97,28.3,19.7,36,23.5,,,,116,12.7,,,,,,,,,,,,,,,32.9
,90x50x6.3 RHS,-,12.3,90,50,6.3,6.3,,,11.3,4.94,,,,0.264,21.5,150,57,3.1,1.91,33.3,22.8,43.2,28,,,,138,15.6,,,,,,,,,,,,,,,38.1
,90x50x7.1 RHS,-,13.6,90,50,7.1,7.1,,,9.68,4.04,,,,0.262,19.3,162,60.9,3.06,1.88,36,24.4,47.2,30.5,,,,149,17.3,,,,,,,,,,,,,,,40.7
,90x50x8 RHS,-,15,90,50,8,8,,,8.25,3.25,,,,0.259,17.2,174,64.6,3.01,1.84,38.6,25.8,51.4,32.9,,,,160,19.2,,,,,,,,,,,,,,,43.2
,100x50x3 RHS,-,6.71,100,50,3,3,,,30.3,13.7,,,,0.292,43.5,110,36.8,3.58,2.08,21.9,14.7,27.3,16.8,,,,88.4,8.54,,,,,,,,,,,,,,,25
,100x50x3.2 RHS,-,7.13,100,50,3.2,3.2,,,28.3,12.6,,,,0.292,40.9,116,38.8,3.57,2.07,23.2,15.5,28.9,17.7,,,,93.4,9.08,,,,,,,,,,,,,,,26.4
,100x50x3.6 RHS,-,7.96,100,50,3.6,3.6,,,24.8,10.9,,,,0.291,36.7,128,42.6,3.55,2.05,25.6,17,32.1,19.6,,,,103,10.1,,,,,,,,,,,,,,,29
,100x50x4 RHS,-,8.78,100,50,4,4,,,22,9.5,,,,0.29,33.1,140,46.2,3.53,2.03,27.9,18.5,35.2,21.5,,,,113,11.2,,,,,,,,,,,,,,,31.4
,100x50x5 RHS,-,10.8,100,50,5,5,,,17,7,,,,0.287,26.6,167,54.3,3.48,1.99,33.3,21.7,42.6,25.8,,,,135,13.7,,,,,,,,,,,,,,,36.9
,100x50x6.3 RHS,-,13.3,100,50,6.3,6.3,,,12.9,4.94,,,,0.284,21.4,197,63,3.42,1.93,39.4,25.2,51.3,30.8,,,,160,16.9,,,,,,,,,,,,,,,42.9
