Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt,c/t
,40x40x3 SHS,-,3.41,40,40,3,3,,,,,,,,0.152,44.5,9.78,9.78,1.5,1.5,4.89,4.89,5.97,5.97,,,,15.7,4.34,,,,,,,,,,,,,,,7.1,10.3
,40x40x3.2 SHS,-,3.61,40,40,3.2,3.2,,,,,,,,0.152,42.1,10.2,10.2,1.49,1.49,5.11,5.11,6.28,6.28,,,,16.5,4.6,,,,,,,,,,,,,,,7.42,9.5
,40x40x3.6 SHS,-,4.01,40,40,3.6,3.6,,,,,,,,0.151,37.8,11.1,11.1,1.47,1.47,5.54,5.54,6.88,6.88,,,,18.1,5.1,,,,,,,,,,,,,,,8.01,8.11
,40x40x4 SHS,-,4.39,40,40,4,4,,,,,,,,0.15,34.2,11.8,11.8,1.45,1.45,5.91,5.91,7.44,7.44,,,,19.5,5.59,,,,,,,,,,,,,,,8.54,7
,40x40x5 SHS,-,5.28,40,40,5,5,,,,,,,,0.147,27.8,13.4,13.4,1.41,1.41,6.68,6.68,8.66,8.66,,,,22.5,6.73,,,,,,,,,,,,,,,9.6,5
,50x50x3 SHS,-,4.35,50,50,3,3,,,,,,,,0.192,44.2,20.2,20.2,1.91,1.91,8.08,8.08,9.7,9.7,,,,32.1,5.54,,,,,,,,,,,,,,,11.8,13.7
,50x50x3.2 SHS,-,4.62,50,50,3.2,3.2,,,,,,,,0.192,41.7,21.2,21.2,1.9,1.9,8.49,8.49,10.2,10.2,,,,33.8,5.88,,,,,,,,,,,,,,,12.4,12.6
,50x50x3.6 SHS,-,5.14,50,50,3.6,3.6,,,,,,,,0.191,37.2,23.2,23.2,1.88,1.88,9.27,9.27,11.3,11.3,,,,37.2,6.54,,,,,,,,,,,,,,,13.5,10.9
,50x50x4 SHS,-,5.64,50,50,4,4,,,,,,,,0.19,33.6,25,25,1.86,1.86,9.99,9.99,12.3,12.3,,,,40.4,7.19,,,,,,,,,,,,,,,14.5,9.5
,50x50x5 SHS,-,6.85,50,50,5,5,,,,,,,,0.187,27.3,28.9,28.9,1.82,1.82,11.6,11.6,14.5,14.5,,,,47.6,8.73,,,,,,,,,,,,,,,16.7,7
,50x50x6.3 SHS,-,8.31,50,50,6.3,6.3,,,,,,,,0.184,22.1,32.8,32.8,1.76,1.76,13.1,13.1,17,17,,,,55.2,10.6,,,,,,,,,,,,,,,18.8,4.94
,50x50x7.1 SHS,-,9.14,50,50,7.1,7.1,,,,,,,,0.182,19.8,34.5,34.5,1.72,1.72,13.8,13.8,18.3,18.3,,,,58.9,11.6,,,,,,,,,,,,,,,19.8,4.04
,50x50x8 SHS,-,10,50,50,8,8,,,,,,,,0.179,17.9,36,36,1.68,1.68,14.4,14.4,19.5,19.5,,,,62.3,12.8,,,,,,,,,,,,,,,20.6,3.25
,60x60x3 SHS,-,5.29,60,,3,3,,,,,,,,0.232,43.8,36.2,36.2,2.32,2.32,12.1,12.1,14.3,14.3,,,,56.9,6.74,,,,,,,,,,,,,,,17.7,17
,60x60x3.2 SHS,-,5.62,60,60,3.2,3.2,,,,,,,,0.232,41.3,38.2,38.2,2.31,2.31,12.7,12.7,15.2,15.2,,,,60.2,7.16,,,,,,,,,,,,,,,18.6,15.7
,60x60x3.6 SHS,-,6.27,60,60,3.6,3.6,,,,,,,,0.231,37,41.9,41.9,2.29,2.29,14,14,16.8,16.8,,,,66.5,7.98,,,,,,,,,,,,,,,20.4,13.7
,60x60x4 SHS,-,6.9,60,60,4,4,,,,,,,,0.23,33.4,45.4,45.4,2.27,2.27,15.1,15.1,18.3,18.3,,,,72.5,8.79,,,,,,,,,,,,,,,22,12
,60x60x5 SHS,-,8.42,60,60,5,5,,,,,,,,0.227,27,53.3,53.3,2.23,2.23,17.8,17.8,21.9,21.9,,,,86.4,10.7,,,,,,,,,,,,,,,25.7,9
