Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a
,200x150x18 UKA,Tata,47.1,200,150,18,18,15,,,,,,,,,2390,1160,6.3,4.38,175,104,,,,,,64.9,60.1,,15,7.5,6.34,3.86,2920,623,6.97,3.22,3.58,5,0.549,7.85
,200x150x15 EA,-,39.6,200,150,15,15,15,,,,,,,,,2020,979,6.33,4.4,147,86.9,,,,,,37.9,50.5,,15,7.5,6.21,3.73,2480,526,7,3.23,3.14,4.35,0.551,6.86
,200x150x12 EA,-,32,200,150,12,12,15,,,,,,,,,1650,803,6.36,4.44,119,70.5,,,,,,19.6,40.8,,15,7.5,6.08,3.61,2030,430,7.04,3.25,2.52,3.43,0.552,5.45
,200x100x15 EA,-,33.8,200,100,15,15,15,,,,,,,,,1760,299,6.4,2.64,137,38.5,,,,,,32.3,43,,15,7.5,7.16,2.22,1860,193,6.59,2.12,3.18,4.08,0.26,5.24
,200x100x12 EA,-,27.3,200,100,12,12,15,,,,,,,,,1440,247,6.43,2.67,111,31.3,,,,,,16.7,34.8,,15,7.5,7.03,2.1,1530,159,6.63,2.14,2.54,3.22,0.262,4.17
,200x100x10 EA,-,23,200,100,10,10,15,,,,,,,,,1220,210,6.46,2.68,93.2,26.3,,,,,,9.73,29.2,,15,7.5,6.93,2.01,1290,135,6.65,2.15,2.1,2.64,0.263,3.46
,150x90x15 EA,-,26.6,150,90,15,15,12,,,,,,,,,761,205,4.74,2.46,77.7,30.4,,,,,,25.4,33.9,,12,6,5.21,2.23,841,126,4.98,1.93,4,5.75,0.354,9.43
,150x90x12 EA,-,21.6,150,90,12,12,12,,,,,,,,,627,171,4.77,2.49,63.3,24.8,,,,,,13.2,27.5,,12,6,5.08,2.12,694,104,5.02,1.94,3.21,4.55,0.358,7.5
,150x90x10 EA,-,18.2,150,90,10,10,12,,,,,,,,,533,146,4.8,2.51,53.3,21,,,,,,7.73,23.2,,12,6,5,2.04,591,88.3,5.05,1.95,2.66,3.73,0.36,6.23
,150x75x15 EA,-,24.8,150,75,15,15,12,,,,,,,,,713,119,4.75,1.94,75.2,21,,,,,,23.8,31.7,,12,6,5.52,1.81,753,78.6,4.88,1.58,3.95,5.83,0.253,10.4
,150x75x12 EA,-,20.2,150,75,12,12,12,,,,,,,,,588,99.6,4.78,1.97,61.3,17.1,,,,,,12.3,25.7,,12,6,5.4,1.69,623,64.7,4.92,1.59,3.3,4.79,0.258,8.6
,150x75x10 EA,-,17,150,75,10,10,12,,,,,,,,,501,85.6,4.81,1.99,51.6,14.5,,,,,,7.23,21.7,,12,6,5.31,1.61,531,55.1,4.95,1.6,2.62,3.74,0.261,6.84
,125x75x12 EA,-,17.8,125,75,12,12,11,,,,,,,,,354,95.5,3.95,2.05,43.2,16.9,,,,,,10.9,22.7,,11,5.5,4.31,1.84,391,58.5,4.15,1.61,3.89,5.56,0.354,9.03
,125x75x10 EA,-,15,125,,10,10,11,,,,,,,,,302,82.1,3.97,2.07,36.5,14.3,,,,,,6.37,19.1,,11,5.5,4.23,1.76,334,49.9,4.18,1.61,3.24,4.58,0.357,7.5
,125x75x8 EA,-,12.2,125,75,8,8,11,,,,,,,,,247,67.6,4,2.09,29.6,11.6,,,,,,3.31,15.5,,11,5.5,4.14,1.68,274,40.9,4.21,1.63,2.58,3.59,0.36,5.96
,100x75x12 EA,-,15.4,100,75,12,12,10,,,,,,,,,189,90.2,3.1,2.14,28,16.5,,,,,,9.46,19.7,,10,5,3.27,2.03,230,49.5,3.42,1.59,5.26,7.92,0.54,13.9
,100x75x10 EA,-,13,100,75,10,10,10,,,,,,,,,162,77.6,3.12,2.16,23.8,14,,,,,,5.53,16.6,,10,5,3.19,1.95,197,42.2,3.45,1.59,4.42,6.57,0.544,11.5
,100x75x8 EA,-,10.6,100,75,8,8,10,,,,,,,,,133,64.1,3.14,2.18,19.3,11.4,,,,,,2.88,13.5,,10,5,3.1,1.87,162,34.6,3.47,1.6,3.54,5.17,0.547,9.19
,100x65x10 UKA,Tata,12.3,100,65,10,10,10,,,,,,,,,154,51,3.14,1.81,23.2,10.5,,,,,,5.2,15.6,,10,5,3.36,1.63,175,30.1,3.35,1.39,4.43,5.7,0.41,6.97
,100x65x8 UKA,Tata,9.94,100,65,8,8,10,,,,,,,,,127,42.2,3.16,1.83,18.9,8.54,,,,,,2.71,12.7,,10,5,3.27,1.55,144,24.8,3.37,1.4,3.53,4.5,0.413,5.55
,100x65x7 UKA,Tata,8.77,100,65,7,7,10,,,,,,,,,113,37.6,3.17,1.83,16.6,7.53,,,,,,1.83,11.2,,10,5,3.23,1.51,128,22,3.39,1.4,2.93,3.72,0.415,4.6
