Name:,h ,b ,tw,tf,r ,A,G,hi,d ,ø,emin,emax,AL,AG,ly,Wel.y,Wpl.y,iy,Ayz,lz,Wel.z,Wpl.z,iz,,,,,
,mm ,mm ,mm ,mm ,mm ,mm2,kg/m,mm ,mm ,,mm,mm,m2/m,m2/t,mm4x104,mm3x103,mm3x103,mm ,mm2,mm4x104,mm3x103,mm3x103,mm ,mm,mm4x104,mm6x109,mm,mm
PFC 100x50x10,100.00,50.00,5.00,8.50,9.00,1300.00,10.20,83.00,65.00,-,-,-,0.38,37.47,207.70,41.54,48.87,40,5.69,32.3,9.89,18.24,15.8,18.8,2.53,0.44,17.3,34.8
PFC 125x65x15,125.00,65.00,5.50,9.50,12.00,1880.00,14.80,106.00,82.00,M16,35.50,38.00,0.49,33.12,483.10,77.29,89.88,50.7,8.11,80.02,18.82,34.33,20.6,22,4.72,1.74,22.5,46.1
PFC 150x75x18,150.00,75.00,5.50,10.00,12.00,2277.00,17.90,130.00,106.00,M16,35.50,48.00,0.58,32.38,861.00,114.80,132.1,61.5,9.52,131,26.61,48.31,24,22.5,6.1,4.24,25.8,53.7
PFC 150x90x24,150.00,90.00,6.50,12.00,12.00,3041.00,23.90,126.00,102.00,M24,46.50,51.00,0.64,26.67,1162.00,154.90,178.6,61.8,11.03,253.2,44.45,79.5,28.9,25.5,11.8,8.15,33,67.7
PFC 180x75x20,180.00,75.00,6.00,10.50,12.00,2591.00,20.30,159.00,135.00,M16,36.00,48.00,0.64,31.36,1370.00,152.20,176.2,72.7,12.05,146.4,28.76,52.95,23.8,23.5,7.34,6.92,24.1,50.5
PFC 180x90x26,180.00,90.00,6.50,12.50,12.00,3319.00,26.10,155.00,131.00,M24,46.50,51.00,0.70,26.74,1817.00,201.90,232.1,74,13.01,276.7,47.44,85.88,28.9,26,13.31,13.03,31.7,65.6
PFC 200x75x23,200.00,75.00,6.00,12.50,12.00,2987.00,23.40,175.00,151.00,M16,36.00,48.00,0.68,28.90,1963.00,196.30,227,81.1,13.37,170,33.84,62.23,23.9,25.5,11.09,9.89,24.8,51.6
PFC 200x90x30,200.00,90.00,7.00,14.00,12.00,3786.00,29.70,172.00,148.00,M24,47.00,51.00,0.74,24.76,2523.00,252.30,291.3,81.6,15.32,313.9,53.4,97.46,28.8,28,18.29,18.19,31.2,64.4
PFC 230x75x26,230.00,75.00,6.50,12.50,12.00,3269.00,25.70,205.00,181.00,M16,36.50,48.00,0.74,28.71,2748.00,239.00,278.4,91.7,16.26,181,34.81,64.11,23.5,26,11.82,14.16,23,48.2
PFC 230x90x32,230.00,90.00,7.50,14.00,12.00,4097.00,32.20,202.00,178.00,M24,47.50,51.00,0.79,24.71,3518.00,305.90,354.7,92.7,18.5,334.1,54.97,101.5,28.6,28.5,19.31,25.95,29.2,60.7
PFC 260x75x28,260.00,75.00,7.00,12.00,12.00,3514.00,27.60,236.00,212.00,M16,37.00,48.00,0.80,28.85,3619.00,278.40,327.8,101.5,19.42,185.5,34.36,61.24,23,26,11.73,19.03,21,44.3
PFC 260x90x35,260.00,90.00,8.00,14.00,12.00,4438.00,34.80,232.00,208.00,M24,48.00,51.00,0.85,24.51,4728.00,363.70,424.6,103.2,21.98,352.5,56.29,103.6,28.2,29,20.57,35.55,27.4,57.2
PFC 300x90x41,300.00,90.00,9.00,15.50,12.00,5273.00,41.40,269.00,245.00,M24,49.00,51.00,0.93,22.51,7218.00,481.20,567.8,117,28.08,403.9,63.12,113.7,27.7,31.5,28.77,54.8,26,53.9
PFC 300x100x46,300.00,100.00,9.00,16.50,15.00,5800.00,45.50,267.00,237.00,M27,49.00,55.00,0.97,21.29,8229.00,548.60,640.7,119.1,28.96,567.8,81.72,150.4,31.3,34.3,36.84,75.7,30.5,63.6
PFC 380x100x54,380.00,100.00,9.50,17.50,15.00,6874.00,54.00,345.00,315.00,M27,49.50,55.00,1.13,20.91,15030.00,791.30,933.4,147.9,38.03,643,89.18,158.2,30.6,35.8,45.66,141.8,27.9,58.6
PFC 430x100x64,430.00,100.00,11.00,19.00,15.00,8209.00,64.40,392.00,362.00,M27,51.00,55.00,1.32,19.01,21940.00,1020.00,1222,163.5,49.03,722.5,97.9,159,29.7,38.8,63,207.8,26.2,54
