Name:,Profile:,G,h,b,s,t,r,d,At,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy
,,kg/m¹,kg/m¹,mm¹,mm¹,mm¹,mm¹,mm¹,mm²,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3
127x76 UB13,127x76x13,13.00,127.00,76.00,4.00,7.60,7.60,96.60,16.50,473.00,55.70,5.35,1.84,74.60,14.70,84.20,22.6
152x89 UB16,152x89x16,16.00,152.40,88.70,4.50,7.70,7.60,121.80,20.30,834.00,89.80,6.41,2.10,109.00,20.20,123.00,31.2
178x102 UB19,178x102x19,19.00,177.80,101.20,4.80,7.90,7.60,146.80,24.30,1356.00,137.00,7.48,2.37,153.00,27.00,171.00,41.6
203x102 UB23,203x102x23,23.10,203.20,101.80,5.40,9.30,7.60,169.40,29.40,2105.00,164.00,8.46,2.36,207.00,32.20,234.00,49.8
203x133 UB25,203x133x25,25.10,203.20,133.20,5.70,7.80,7.60,172.40,32.00,2340.00,308.00,8.56,3.10,230.00,46.20,258.00,70.9
203x133 UB30,203x133x30,30.00,206.80,133.90,6.40,9.60,7.60,172.40,38.20,2896.00,385.00,8.71,3.17,280.00,57.50,314.00,88.2
254x102 UB22,254x102x22,22.00,254.00,101.60,5.70,6.80,7.60,225.20,28.00,2841.00,119.00,10.10,2.06,224.00,23.50,259.00,37.3
254x102 UB25,254x102x25,25.20,257.20,101.90,6.00,8.40,7.60,225.20,32.00,3415.00,149.00,10.30,2.15,266.00,29.20,306.00,46
254x102 UB28,254x102x28,28.30,260.40,102.20,6.30,10.00,7.60,225.20,36.10,4005.00,179.00,10.50,2.22,308.00,34.90,353.00,54.8
254x146 UB31,254x146x31,31.10,251.40,146.10,6.00,8.60,7.60,219.00,39.70,4413.00,448.00,10.50,3.36,351.00,61.30,393.00,94.1
254x146 UB37,254x146x37,37.00,256.00,146.40,6.30,10.90,7.60,219.00,47.20,5537.00,571.00,10.80,3.48,433.00,78.00,483.00,119
254x146 UB43,254x146x43,43.00,259.60,147.30,7.20,12.70,7.60,219.00,54.80,6544.00,677.00,10.90,3.52,504.00,92.00,566.00,141
305x102 UB25,305x102x25,24.80,305.10,101.60,5.80,7.00,7.60,275.90,31.60,4455.00,123.00,11.90,1.97,292.00,24.20,342.00,38.8
